age,จำนวนคนทั้งหมด,คนที่ไม่เป็นเบาหวาน,คนที่เป็นเบาหวาน,hypertension(ไม่เป็น),hypertensionเป็น),heart_disease(ไม่เป็น),heart_disease(เป็น)
0.08,36,36,0,36,0,36,0
0.16,59,59,0,59,0,59,0
0.24,87,87,0,87,0,87,0
0.32,89,89,0,89,0,89,0
0.4,66,66,0,66,0,66,0
0.48,83,83,0,83,0,83,0
0.56,96,96,0,96,0,96,0
0.64,99,99,0,99,0,99,0
0.72,104,104,0,104,0,104,0
0.8,102,102,0,102,0,102,0
0.88,90,90,0,90,0,90,0
1,83,83,0,83,0,83,0
1.08,95,95,0,95,0,95,0
1.16,89,89,0,89,0,89,0
1.24,90,90,0,90,0,90,0
1.32,103,103,0,103,0,103,0
1.4,101,101,0,101,0,101,0
1.48,107,107,0,107,0,107,0
1.56,113,113,0,113,0,113,0
1.64,118,118,0,118,0,118,0
1.72,97,97,0,97,0,97,0
1.8,108,108,0,108,0,108,0
1.88,86,86,0,86,0,86,0
2,1186,1186,0,1186,0,1185,1
3,1038,1037,1,1038,0,1038,0
4,953,947,6,952,1,953,0
5,993,992,1,993,0,993,0
6,931,927,4,931,0,930,1
7,903,898,5,902,1,903,0
8,876,875,1,875,1,875,1
9,781,777,4,781,0,781,0
10,860,853,7,860,1,859,1
11,843,841,2,842,1,843,0
12,891,886,5,891,0,890,1
13,949,942,7,949,0,949,0
14,906,893,13,906,0,906,0
15,968,958,10,966,2,968,0
16,1022,1014,8,1021,1,1022,0
17,1018,1010,8,1018,0,1018,0
18,1181,1171,10,1178,3,1181,0
19,1268,1254,14,1268,0,1267,1
20,1236,1229,7,1231,5,1235,1
21,1255,1250,5,1248,7,1254,1
22,1237,1222,15,1233,4,1236,1
23,1253,1243,10,1248,5,1253,0
24,1236,1224,12,1228,8,1236,0
25,1249,1234,15,1237,12,1248,1
26,1273,1255,18,1267,6,1273,0
27,1292,1270,22,1273,19,1291,1
28,1377,1344,33,1362,15,1377,0
29,1359,1328,31,1339,20,1357,2
30,1298,1271,27,1275,23,1296,2
31,1276,1242,34,1249,27,1275,1
32,1244,1209,35,1219,25,1244,0
33,1245,1213,32,1210,35,1239,6
34,1262,1225,37,1224,38,1260,2
35,1228,1188,40,1186,42,1227,1
36,1257,1210,47,1222,35,1253,4
37,1322,1277,45,1273,49,1309,13
38,1498,1437,61,1442,56,1493,5
39,1422,1344,78,1358,64,1412,10
40,1385,1314,71,1310,75,1373,12
41,1299,1235,64,1240,59,1289,10
42,1395,1312,83,1333,62,1383,12
43,1440,1346,94,1353,87,1425,15
44,1402,1317,85,1316,86,1375,27
45,1469,1362,107,1365,104,1447,22
46,1522,1410,112,1420,102,1498,24
47,1574,1432,142,1457,117,1550,24
48,1568,1450,118,1426,142,1538,30
49,1541,1418,123,1424,117,1508,33
50,1455,1314,141,1311,144,1421,34
51,1619,1455,164,1464,155,1547,72
52,1534,1368,166,1381,153,1481,53
53,1542,1387,155,1375,167,1497,45
54,1506,1315,191,1340,166,1441,65
55,1504,1303,201,1340,164,1425,79
56,1435,1248,187,1269,166,1369,66
57,1521,1288,233,1332,189,1458,63
58,1348,1143,205,1169,179,1244,104
59,1399,1183,216,1206,193,1319,80
60,1423,1210,213,1212,211,1339,84
61,1403,1153,250,1197,206,1309,94
62,1474,1216,258,1260,214,1378,96
63,1089,887,202,930,159,992,97
64,1098,887,211,912,186,994,104
65,1134,900,234,951,183,1030,104
66,1176,935,241,989,187,1067,109
67,1040,804,236,871,169,916,124
68,977,769,208,805,172,864,113
69,966,760,206,790,176,849,117
70,919,736,183,775,144,812,107
71,871,679,192,716,155,773,98
72,790,616,174,642,148,692,98
73,823,641,182,673,150,711,112
74,764,580,184,606,158,654,110
75,721,549,172,583,138,629,92
76,733,584,149,591,142,618,115
77,730,594,136,590,140,616,114
78,682,546,136,557,125,587,95
79,621,480,141,508,113,521,100
80,5621,4597,1024,4544,1077,4689,932
